"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Australia","AUS","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","7500","1000","10000","16000","13000","1200","5700","3200","31000","11000","25000","",
"Australia","AUS","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","1.08260418211479","0.573016891169553","0.792113306642559","0.695670980067044","0.997548114063077","1.15798462852263","0.962296892254299","1.40264498769107","1.03663731894348","1.14026652012639","0.775302424414811","0.830534923391137","0.709314590232646","0.644337159280897","0.793955588250142","1.70228777465432","0.745857591876025","1.3268042578586","1.03906542315101","0.885876025525133","0.949826801356571","0.948483338749353","0.623657052896782","0.571815685373142","0.737892164782244","1.01622881125582","0.802125166111741","0.829140675199376","0.858278321948528","0.78951143879779","0.920386445967379","0.733492311594531","0.803067784289337","1.1224484273751","1.07938794053481","0.834041735175248","0.932393896736789","0.970258362670614","1.20200594458361","1.05868218727354","1.05816323420439","0.983676250359059","1.01946063626822","1.13695972261278","1.09213323304795","1.46542585708031","1.37387357450021","1.19968248332014","1.29667526304731","1.19346380872418","1.25164003637996","1.22832738763423","0.978752274933787","0.574592234365202","0.697583202157544","0.89688265700278","0.952275411815753","0.686253813276579","0.636002806527099","0.460448090059947","",
"Australia","AUS","Medium and high-tech exports (% manufactured exports)","TX.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.7912850401803","26.4729397680731","29.7332208579534","32.5452203127868","34.3980483426277","35.1851938677473","35.6045316240229","36.5593407715275","35.7321814005326","37.4257607569268","40.0762526948595","41.1775251910353","41.310298589475","39.664105157787","37.0419234802032","33.8437452900109","29.3168432824814","29.3270149522261","26.3430769280933","25.6696207082718","19.9422716012203","17.4684010518158","19.6446447771602","17.1322808073125","17.8166589034236","21.7575027580663","21.8180222008308","19.7150677593975","20.6364079744356","","",
"Australia","AUS","Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports)","TM.VAL.MRCH.OR.ZS","11.2655800575264","13.1957351071114","11.7832814544142","11.5564489661963","10.6431826748449","9.70308967596081","10.135760567726","9.41280529559461","8.65674694482794","8.10466272952943","7.06366975196152","6.99444394763547","7.22686416627938","7.80382072781802","8.06837787258918","7.7436885027199","7.77791960610389","9.22406659599325","8.60328715473752","9.06950446553252","9.76370205324885","8.16823720968258","9.08937336419824","7.307042440585","8.08336542649386","7.1960169214341","7.48936624334914","9.33282095820654","8.84972258717929","9.3685259077883","9.76366798793429","12.6617971453953","14.515546608353","15.3184620859959","15.0483291795167","15.428453225687","16.6830333474382","18.2625657089676","19.4091799412859","20.8349484983378","23.5651930817001","24.527904511832","25.7849677867053","27.5069233210533","29.0365621784844","31.03336891969","33.0880495989542","34.1039653311886","34.5265312762669","37.0409334331758","38.8438759545788","37.7103813186106","38.6525176263405","40.266460360689","41.9009633509783","42.7832254133658","44.1407464235101","42.7816093843125","44.9129942655171","44.8578580128219","",
"Australia","AUS","Tariff rate, applied, simple mean, primary products (%)","TM.TAX.TCOM.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.57","","8.2","","","8.27","8.08","7.71","6.95","6.87","1.58","1.53","1.52","1.55","1.61","1.32","1.48","2.63","1.6","1.37","1.38","1.3","1.31","1.43","1.43","1.33","1.3","1.31","1.22","",
"Australia","AUS","Tariff rate, applied, simple mean, manufactured products (%)","TM.TAX.MANF.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.52","","9.91","","","7.7","7.58","6.91","6.73","6.53","5.91","5.61","5.64","5.7","4.65","4.19","4.27","4.27","4.42","3.07","3.02","2.99","3.01","3.07","2.67","2.46","2.38","2.36","2.15","",
"Australia","AUS","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Population, female","SP.POP.TOTL.FE.IN","5088220","5193702","5325562","5432295","5543347","5656031","5789114","5864628","5970763","6098921","6222526","6439091","6561476","6666006","6841178","6931120","7007282","7093888","7184083","7268174","7361338","7480761","7606253","7700516","7786760","7893404","8024250","8148361","8284695","8428823","8557922","8672105","8783194","8874467","8972117","9081705","9199166","9297311","9387978","9489571","9598862","9727041","9846313","9969174","10085124","10216808","10363782","10422152","10626574","10843809","11013858","11172755","11378171","11586371","11770519","11948693","12141288","12349632","12541215","12732764","",
"Australia","AUS","Population ages 65 and above, total","SP.POP.65UP.TO","884868","904704","928144","946353","964280","981496","995393","998328","1006166","1018293","1031064","1079689","1112392","1142706","1187416","1220598","1254217","1293980","1336486","1376153","1413926","1460177","1501769","1534800","1569235","1613701","1662464","1715038","1773165","1832635","1887187","1945565","2000583","2048277","2095025","2142807","2191058","2233026","2272163","2314268","2360353","2410183","2459554","2512170","2565354","2625040","2675535","2703824","2774878","2860193","2947089","3045014","3166837","3296373","3419308","3537773","3662774","3789676","3911408","4038302","",
"Australia","AUS","Population ages 40-44, female (% of female population)","SP.POP.4044.FE.5Y","6.40140448463317","6.40039619043497","6.4668014355214","6.56226343063473","6.62843928968953","6.63232644695831","6.58896501081938","6.50748234934492","6.39331236146863","6.25624878838754","6.10297237963667","5.8978837007358","5.67981112735257","5.47871367498888","5.33162681959043","5.25665956185335","5.20021894872136","5.2035050236543","5.2433003924684","5.29162268272944","5.3397186921552","5.42262805932937","5.49905956455288","5.58995507250869","5.72995369147383","5.93578713851398","6.17206845716787","6.47296362107665","6.79296376285472","7.06343435712983","7.24726080730895","7.35185586923479","7.37774926933769","7.35977969844245","7.34847025388375","7.36954806804256","7.39207746804475","7.42801696811173","7.47405899519783","7.52161967273186","7.56710783587539","7.60840904137893","7.6601624888875","7.70266187327645","7.70644515448118","7.65478547998442","7.51537844603628","7.32578057903855","7.12939514786474","6.98509635321274","6.92140133260318","6.91305037506095","6.96645876041349","7.02889341826121","7.03941330009652","6.97828725965142","6.87663285026614","6.71716672026858","6.54383120143176","6.4233728259867","",
